section,frame_number,file_name,time_seconds,color_index,color_name,color_hex,count
peak_frame_inventory,,,,0,"Black",#212121,12
peak_frame_inventory,,,,1,"White",#ffffff,12
peak_frame_inventory,,,,2,"Red",#b30006,6
peak_frame_inventory,,,,3,"Blue",#0057a6,6
overall_placements,,,,0,"Black",#212121,28
overall_placements,,,,1,"White",#ffffff,16
overall_placements,,,,2,"Red",#b30006,10
overall_placements,,,,3,"Blue",#0057a6,10
frame,1,demo-project-frame-0001.png,0,0,"Black",#212121,12
frame,1,demo-project-frame-0001.png,0,2,"Red",#b30006,4
frame,2,demo-project-frame-0002.png,0.5,0,"Black",#212121,12
frame,2,demo-project-frame-0002.png,0.5,3,"Blue",#0057a6,4
frame,3,demo-project-frame-0003.png,1,1,"White",#ffffff,12
frame,3,demo-project-frame-0003.png,1,0,"Black",#212121,4
frame,4,demo-project-frame-0004.png,1.5,2,"Red",#b30006,6
frame,4,demo-project-frame-0004.png,1.5,3,"Blue",#0057a6,6
frame,4,demo-project-frame-0004.png,1.5,1,"White",#ffffff,4
